pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa21,cty,ced,laua,ward,nhser,ctry,rgn,pcon,ttwa,itl,npark,lsoa21,msoa21,wz11,sicbl,bua22,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,icb
AB1 1LN,AB1  1LN,AB1 1LN,198001,199606,0,393871,806680,1,S00088989,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34003080,S03000012,S99999999,1,2B1,57.150957,-2.102936,S99999999,,S23000009,3506,S99999999
AB1 1LP,AB1  1LP,AB1 1LP,198001,199606,0,393837,806654,1,S00088989,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34003080,S03000012,S99999999,1,2B1,57.150723,-2.103497,S99999999,,S23000009,3506,S99999999
AB1 1LQ,AB1  1LQ,AB1 1LQ,198001,199606,0,393829,806627,1,S00088989,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34003080,S03000012,S99999999,1,2B1,57.150481,-2.103628,S99999999,,S23000009,3506,S99999999
AB1 1LR,AB1  1LR,AB1 1LR,198001,199606,0,393856,806586,1,S00088993,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.150113,-2.103181,S99999999,,S23000009,3506,S99999999
AB1 1LS,AB1  1LS,AB1 1LS,197308,199512,0,393740,806550,8,S00090523,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.149788,-2.105097,S99999999,,S23000009,3506,S99999999
AB1 1LT,AB1  1LT,AB1 1LT,198001,199606,0,393785,806685,1,S00090527,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000001,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.151001,-2.104357,S99999999,,S23000009,3506,S99999999
AB1 1LU,AB1  1LU,AB1 1LU,198001,199606,0,393735,806723,1,S00090524,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.151342,-2.105184,S99999999,,S23000009,3506,S99999999
AB1 1LW,AB1  1LW,AB1 1LW,199006,199606,0,393738,806672,1,S00088988,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,7B2,57.150884,-2.105134,S99999999,,S23000009,3506,S99999999
AB1 1LX,AB1  1LX,AB1 1LX,198001,199606,0,393680,806720,1,S00090524,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.151314,-2.106093,S99999999,,S23000009,3506,S99999999
AB1 1LY,AB1  1LY,AB1 1LY,198001,199606,0,393710,806767,1,S00090524,S99999999,S99999999,S12000033,S13002842,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006648,S02001261,S34003052,S03000012,S99999999,1,2B1,57.151737,-2.105599,S99999999,,S23000009,3506,S99999999
